video_id,creator_id,genre,video_duration_sec,ai_model_used,ai_generated_ratio,monetized
VID_0034,CREATOR_019,AI Shorts,114,Sora 2,0.877,1
VID_0035,CREATOR_054,Drama,28,Flux,0.841,1
VID_0036,CREATOR_099,AI Animation,201,Flux,0.735,1
VID_0037,CREATOR_062,AI Animation,40,Sora 2,0.704,1
VID_0038,CREATOR_090,AI Animation,95,Flux,0.888,1
VID_0039,CREATOR_085,Sci-Fi,215,Sora 2,0.897,1
VID_0040,CREATOR_114,Drama,185,Seedance Pro,0.731,0
VID_0041,CREATOR_056,Horror,188,Sora 2,0.95,1
VID_0042,CREATOR_118,Documentaries,229,Kling 2.0,0.708,0
VID_0043,CREATOR_063,Horror,62,Flux,0.628,0
VID_0044,CREATOR_108,AI Shorts,241,Seedance Pro,0.84,1
VID_0045,CREATOR_088,AI Animation,182,Sora 2,0.643,1
VID_0046,CREATOR_016,AI Shorts,135,Seedance Pro,0.711,0
VID_0047,CREATOR_078,Documentaries,147,Seedance Pro,0.803,1
VID_0048,CREATOR_106,Drama,160,Kling 2.0,0.715,1
VID_0049,CREATOR_016,AI Shorts,172,Flux,0.686,0
VID_0050,CREATOR_101,Drama,110,Flux,0.881,1
VID_0051,CREATOR_013,Drama,78,Sora 2,0.819,1
VID_0052,CREATOR_105,Documentaries,63,Sora 2,0.936,0
VID_0053,CREATOR_095,Drama,112,Seedance Pro,0.832,0
VID_0054,CREATOR_019,AI Animation,89,Flux,0.793,1
VID_0055,CREATOR_088,AI Animation,162,Sora 2,0.705,0
VID_0056,CREATOR_015,AI Shorts,275,Kling 2.0,0.917,0
VID_0057,CREATOR_069,AI Animation,45,Sora 2,0.679,1
VID_0058,CREATOR_111,Documentaries,103,Seedance Pro,0.697,1
VID_0059,CREATOR_025,AI Shorts,29,Flux,0.937,1
VID_0060,CREATOR_021,AI Shorts,293,Kling 2.0,0.896,1
VID_0061,CREATOR_051,AI Animation,215,Seedance Pro,0.845,1
VID_0062,CREATOR_045,AI Shorts,84,Seedance Pro,0.616,1
VID_0063,CREATOR_006,AI Shorts,133,Sora 2,0.651,1
VID_0064,CREATOR_055,Sci-Fi,221,Kling 2.0,0.8,1
VID_0065,CREATOR_032,Horror,288,Sora 2,0.899,1
VID_0066,CREATOR_015,AI Animation,179,Kling 2.0,0.786,1
VID_0067,CREATOR_034,AI Animation,92,Sora 2,0.607,1
VID_0068,CREATOR_003,AI Animation,214,Flux,0.674,1
VID_0069,CREATOR_110,AI Shorts,211,Seedance Pro,0.836,1
VID_0070,CREATOR_120,Drama,199,Sora 2,0.878,1
VID_0071,CREATOR_045,Horror,28,Seedance Pro,0.613,1
VID_0072,CREATOR_106,Sci-Fi,217,Seedance Pro,0.617,1
VID_0073,CREATOR_056,Documentaries,20,Kling 2.0,0.705,1
VID_0074,CREATOR_110,Drama,273,Kling 2.0,0.633,0
VID_0075,CREATOR_021,AI Animation,267,Flux,0.817,0
VID_0076,CREATOR_035,AI Animation,176,Flux,0.649,0
VID_0077,CREATOR_089,AI Animation,199,Sora 2,0.859,1
VID_0078,CREATOR_027,Horror,34,Flux,0.911,1
VID_0079,CREATOR_099,AI Animation,265,Flux,0.988,0
VID_0080,CREATOR_052,AI Shorts,92,Flux,0.979,1
VID_0081,CREATOR_049,Drama,89,Flux,0.709,0
VID_0082,CREATOR_055,Horror,217,Kling 2.0,0.612,0
VID_0083,CREATOR_096,Drama,283,Kling 2.0,0.732,1
VID_0084,CREATOR_001,Drama,156,Kling 2.0,0.883,1
VID_0085,CREATOR_091,Sci-Fi,160,Seedance Pro,0.624,1
VID_0086,CREATOR_094,Horror,171,Seedance Pro,0.744,1
VID_0087,CREATOR_099,AI Animation,98,Flux,0.719,1
VID_0088,CREATOR_120,Sci-Fi,185,Kling 2.0,0.688,0
VID_0089,CREATOR_094,Documentaries,289,Sora 2,0.882,1
VID_0090,CREATOR_064,AI Animation,124,Kling 2.0,0.864,1
VID_0091,CREATOR_056,Sci-Fi,236,Sora 2,0.814,0
VID_0092,CREATOR_047,AI Shorts,236,Kling 2.0,0.964,1
VID_0093,CREATOR_100,AI Animation,258,Seedance Pro,0.641,1
VID_0094,CREATOR_048,Sci-Fi,221,Kling 2.0,0.66,1
VID_0095,CREATOR_069,AI Shorts,278,Flux,0.753,1
VID_0096,CREATOR_012,Drama,219,Seedance Pro,0.862,1
VID_0097,CREATOR_039,Drama,294,Flux,0.834,0
VID_0098,CREATOR_032,Sci-Fi,219,Kling 2.0,0.63,1
VID_0099,CREATOR_053,AI Shorts,254,Seedance Pro,0.983,1
VID_0100,CREATOR_061,Horror,269,Flux,0.722,0
VID_0101,CREATOR_086,Sci-Fi,296,Sora 2,0.744,0
VID_0102,CREATOR_052,AI Animation,185,Flux,0.849,1
VID_0103,CREATOR_019,Sci-Fi,218,Seedance Pro,0.978,0
VID_0104,CREATOR_066,AI Shorts,291,Sora 2,0.865,1
VID_0105,CREATOR_007,Sci-Fi,123,Sora 2,0.982,1
VID_0106,CREATOR_102,Drama,49,Sora 2,0.675,0
VID_0107,CREATOR_093,Documentaries,267,Kling 2.0,0.848,1
VID_0108,CREATOR_028,AI Animation,195,Flux,0.932,0
VID_0109,CREATOR_032,AI Shorts,137,Kling 2.0,0.804,1
VID_0110,CREATOR_004,AI Animation,220,Sora 2,0.745,1
VID_0111,CREATOR_044,Sci-Fi,24,Sora 2,0.994,0
VID_0112,CREATOR_005,Drama,151,Kling 2.0,0.656,1
VID_0113,CREATOR_113,AI Animation,90,Sora 2,0.764,1
VID_0114,CREATOR_017,Documentaries,97,Flux,0.949,1
VID_0115,CREATOR_080,AI Shorts,292,Sora 2,0.96,1
VID_0116,CREATOR_069,Sci-Fi,172,Kling 2.0,0.992,1
VID_0117,CREATOR_029,AI Animation,55,Seedance Pro,0.954,1
VID_0118,CREATOR_097,AI Animation,119,Seedance Pro,0.62,0
VID_0119,CREATOR_014,Horror,84,Sora 2,0.972,1
VID_0120,CREATOR_107,Drama,275,Sora 2,0.771,0
VID_0121,CREATOR_089,AI Animation,98,Kling 2.0,0.861,1
VID_0122,CREATOR_077,AI Shorts,117,Kling 2.0,0.758,1
VID_0123,CREATOR_106,Drama,110,Sora 2,0.925,1
VID_0124,CREATOR_049,Drama,65,Seedance Pro,0.83,1
VID_0125,CREATOR_034,Sci-Fi,238,Flux,0.938,0
VID_0126,CREATOR_019,Sci-Fi,179,Sora 2,0.678,1
VID_0127,CREATOR_111,Sci-Fi,139,Seedance Pro,0.674,1
VID_0128,CREATOR_049,AI Animation,128,Sora 2,0.776,1
VID_0129,CREATOR_100,AI Shorts,205,Kling 2.0,0.602,1
VID_0130,CREATOR_040,Sci-Fi,42,Sora 2,0.877,0
VID_0131,CREATOR_115,AI Animation,281,Kling 2.0,0.718,1
VID_0132,CREATOR_105,AI Animation,176,Seedance Pro,0.823,0
VID_0133,CREATOR_037,Sci-Fi,80,Sora 2,0.628,0
VID_0134,CREATOR_059,Documentaries,168,Flux,0.668,1
VID_0135,CREATOR_096,AI Shorts,258,Sora 2,0.849,1
VID_0136,CREATOR_028,AI Animation,64,Seedance Pro,0.722,0
VID_0137,CREATOR_003,AI Shorts,164,Flux,0.686,0
VID_0138,CREATOR_035,AI Animation,185,Sora 2,0.692,1
VID_0139,CREATOR_071,Horror,246,Kling 2.0,0.686,0
VID_0140,CREATOR_017,AI Shorts,177,Seedance Pro,0.849,0
VID_0141,CREATOR_041,AI Shorts,225,Sora 2,0.667,0
VID_0142,CREATOR_111,Documentaries,236,Kling 2.0,0.745,0
VID_0143,CREATOR_010,Horror,269,Seedance Pro,0.875,0
VID_0144,CREATOR_007,Horror,118,Kling 2.0,0.805,1
VID_0145,CREATOR_051,AI Animation,216,Sora 2,0.839,0
VID_0146,CREATOR_002,Sci-Fi,86,Sora 2,0.7,1
VID_0147,CREATOR_004,Drama,256,Sora 2,0.973,1
VID_0148,CREATOR_022,AI Shorts,287,Sora 2,0.766,1
VID_0149,CREATOR_013,Drama,99,Kling 2.0,0.715,1
VID_0150,CREATOR_098,Drama,175,Kling 2.0,0.962,1
VID_0151,CREATOR_015,AI Animation,250,Kling 2.0,0.862,1
VID_0152,CREATOR_063,AI Animation,22,Kling 2.0,0.846,1
VID_0153,CREATOR_085,AI Shorts,216,Seedance Pro,0.955,1
VID_0154,CREATOR_076,AI Animation,249,Sora 2,0.623,1
VID_0155,CREATOR_079,Drama,264,Sora 2,0.935,1
VID_0156,CREATOR_043,Drama,71,Sora 2,0.871,0
VID_0157,CREATOR_107,AI Shorts,231,Flux,0.744,1
VID_0158,CREATOR_009,Drama,239,Kling 2.0,0.703,1
VID_0159,CREATOR_013,AI Shorts,15,Kling 2.0,0.642,0
VID_0160,CREATOR_103,Drama,216,Flux,0.976,1
VID_0161,CREATOR_009,AI Animation,194,Sora 2,0.657,0
VID_0162,CREATOR_024,Drama,292,Flux,0.704,0
VID_0163,CREATOR_021,Drama,27,Seedance Pro,0.876,1
VID_0164,CREATOR_004,AI Animation,291,Seedance Pro,0.884,0
VID_0165,CREATOR_015,AI Shorts,178,Kling 2.0,0.664,1
VID_0166,CREATOR_069,Horror,93,Kling 2.0,0.926,1
VID_0167,CREATOR_080,AI Animation,125,Kling 2.0,0.804,1
VID_0168,CREATOR_010,Drama,234,Flux,0.939,1
VID_0169,CREATOR_114,Documentaries,299,Seedance Pro,0.635,1
VID_0170,CREATOR_012,Horror,105,Seedance Pro,0.617,1
VID_0171,CREATOR_083,AI Animation,296,Kling 2.0,0.855,1
VID_0172,CREATOR_097,AI Shorts,194,Seedance Pro,0.66,1
VID_0173,CREATOR_063,Documentaries,69,Sora 2,0.81,1
VID_0174,CREATOR_059,AI Shorts,185,Seedance Pro,0.606,1
VID_0175,CREATOR_014,Sci-Fi,244,Sora 2,0.912,1
VID_0176,CREATOR_029,Sci-Fi,30,Kling 2.0,0.96,1
VID_0177,CREATOR_103,Drama,37,Kling 2.0,0.936,0
VID_0178,CREATOR_042,AI Animation,16,Seedance Pro,0.983,0
VID_0179,CREATOR_005,AI Animation,178,Sora 2,0.961,1
VID_0180,CREATOR_088,AI Animation,31,Sora 2,0.778,0
VID_0181,CREATOR_083,Drama,281,Sora 2,0.759,1
VID_0182,CREATOR_008,AI Shorts,51,Sora 2,0.958,1
VID_0183,CREATOR_007,Horror,35,Seedance Pro,0.971,1
VID_0184,CREATOR_014,Drama,88,Kling 2.0,0.989,0
VID_0185,CREATOR_007,Documentaries,233,Kling 2.0,0.907,1
VID_0186,CREATOR_074,Horror,274,Flux,0.681,1
VID_0187,CREATOR_016,AI Animation,86,Sora 2,0.978,0
VID_0188,CREATOR_073,Drama,163,Kling 2.0,0.979,1
VID_0189,CREATOR_022,Sci-Fi,236,Kling 2.0,0.866,1
VID_0190,CREATOR_117,Documentaries,242,Kling 2.0,0.943,1
VID_0191,CREATOR_088,AI Animation,58,Kling 2.0,0.824,1
VID_0192,CREATOR_045,Drama,254,Kling 2.0,0.978,0
VID_0193,CREATOR_052,Horror,263,Kling 2.0,0.638,1
VID_0194,CREATOR_008,Sci-Fi,225,Flux,0.946,1
VID_0195,CREATOR_007,Horror,165,Seedance Pro,0.622,0
VID_0196,CREATOR_065,Sci-Fi,126,Seedance Pro,0.736,1
VID_0197,CREATOR_003,AI Animation,269,Sora 2,0.654,1
VID_0198,CREATOR_077,AI Shorts,262,Sora 2,0.792,1
VID_0199,CREATOR_046,AI Animation,163,Seedance Pro,0.693,1
VID_0200,CREATOR_017,AI Shorts,227,Flux,0.981,1
VID_0201,CREATOR_065,Documentaries,129,Sora 2,0.824,1
VID_0202,CREATOR_067,AI Animation,227,Kling 2.0,0.959,0
VID_0203,CREATOR_090,AI Shorts,40,Sora 2,0.711,0
VID_0204,CREATOR_024,Horror,272,Sora 2,0.61,1
VID_0205,CREATOR_066,Drama,162,Sora 2,0.91,1
VID_0206,CREATOR_102,Sci-Fi,186,Kling 2.0,0.881,1
VID_0207,CREATOR_033,Documentaries,69,Seedance Pro,0.818,0
VID_0208,CREATOR_101,Sci-Fi,166,Sora 2,0.926,1
VID_0209,CREATOR_087,AI Shorts,15,Sora 2,0.936,0
VID_0210,CREATOR_052,AI Shorts,269,Kling 2.0,0.835,0
VID_0211,CREATOR_106,Drama,229,Flux,0.986,0
VID_0212,CREATOR_117,Sci-Fi,144,Flux,0.888,1
VID_0213,CREATOR_029,Sci-Fi,254,Kling 2.0,0.871,1
VID_0214,CREATOR_118,Drama,247,Sora 2,0.745,0
VID_0215,CREATOR_001,Sci-Fi,49,Flux,0.601,0
VID_0216,CREATOR_016,AI Shorts,30,Seedance Pro,0.696,1
VID_0217,CREATOR_006,Drama,87,Kling 2.0,0.906,1
VID_0218,CREATOR_045,Drama,15,Seedance Pro,0.884,1
VID_0219,CREATOR_113,AI Animation,178,Sora 2,0.732,0
VID_0220,CREATOR_073,AI Animation,166,Kling 2.0,0.85,1
VID_0221,CREATOR_074,Documentaries,168,Kling 2.0,0.678,1
VID_0222,CREATOR_011,AI Animation,36,Kling 2.0,0.705,1
VID_0223,CREATOR_062,Sci-Fi,277,Kling 2.0,0.979,0
VID_0224,CREATOR_046,AI Animation,294,Sora 2,0.765,1
VID_0225,CREATOR_058,AI Animation,183,Flux,0.698,0
VID_0226,CREATOR_032,Documentaries,16,Kling 2.0,0.795,0
VID_0227,CREATOR_025,AI Animation,128,Seedance Pro,0.755,0
VID_0228,CREATOR_115,Sci-Fi,220,Kling 2.0,0.892,1
VID_0229,CREATOR_068,AI Shorts,229,Sora 2,0.985,1
VID_0230,CREATOR_050,Sci-Fi,84,Seedance Pro,0.837,1
VID_0231,CREATOR_009,AI Animation,250,Seedance Pro,0.836,1
VID_0232,CREATOR_092,Documentaries,291,Flux,0.746,1
VID_0233,CREATOR_057,Drama,160,Flux,0.826,0
VID_0234,CREATOR_047,Sci-Fi,124,Kling 2.0,0.728,1
VID_0235,CREATOR_081,AI Animation,165,Kling 2.0,0.6,0
VID_0236,CREATOR_016,Sci-Fi,22,Sora 2,0.946,1
VID_0237,CREATOR_064,Sci-Fi,164,Kling 2.0,0.772,0
VID_0238,CREATOR_104,AI Shorts,22,Sora 2,0.797,1
VID_0239,CREATOR_056,AI Shorts,24,Kling 2.0,0.633,1
VID_0240,CREATOR_001,Drama,173,Seedance Pro,0.935,0
VID_0241,CREATOR_028,Horror,161,Seedance Pro,0.668,0
VID_0242,CREATOR_007,AI Animation,297,Seedance Pro,0.764,1
VID_0243,CREATOR_061,Documentaries,160,Flux,0.936,0
VID_0244,CREATOR_044,AI Shorts,295,Kling 2.0,0.783,0
VID_0245,CREATOR_016,AI Animation,245,Kling 2.0,0.972,0
VID_0246,CREATOR_083,Horror,111,Flux,0.684,1
VID_0247,CREATOR_022,Sci-Fi,279,Flux,0.886,1
VID_0248,CREATOR_042,AI Shorts,153,Sora 2,0.991,0
VID_0249,CREATOR_119,Drama,185,Sora 2,0.82,1
VID_0250,CREATOR_008,AI Animation,43,Sora 2,0.877,1
VID_0251,CREATOR_030,Horror,75,Kling 2.0,0.757,0
VID_0252,CREATOR_039,AI Animation,164,Sora 2,0.901,1
VID_0253,CREATOR_062,Horror,92,Sora 2,0.964,1
VID_0254,CREATOR_030,Sci-Fi,186,Flux,0.881,0
VID_0255,CREATOR_117,Sci-Fi,37,Seedance Pro,0.974,0
VID_0256,CREATOR_001,AI Animation,86,Sora 2,0.835,0
VID_0257,CREATOR_114,Horror,205,Flux,0.831,0
VID_0258,CREATOR_065,Sci-Fi,190,Seedance Pro,0.722,1
VID_0259,CREATOR_005,Horror,296,Kling 2.0,0.884,1
VID_0260,CREATOR_014,AI Animation,272,Flux,0.953,1
VID_0261,CREATOR_013,AI Shorts,246,Sora 2,0.859,0
VID_0262,CREATOR_035,AI Animation,15,Sora 2,0.693,0
VID_0263,CREATOR_040,Sci-Fi,187,Kling 2.0,0.818,1
VID_0264,CREATOR_077,Documentaries,80,Seedance Pro,0.902,1
VID_0265,CREATOR_038,AI Animation,91,Seedance Pro,0.976,0
VID_0266,CREATOR_088,Drama,75,Kling 2.0,0.663,1
VID_0267,CREATOR_036,AI Shorts,145,Kling 2.0,0.651,1
VID_0268,CREATOR_032,AI Shorts,50,Kling 2.0,0.765,1
VID_0269,CREATOR_034,AI Shorts,167,Flux,0.65,1
VID_0270,CREATOR_040,Horror,62,Sora 2,0.992,1
VID_0271,CREATOR_101,Drama,158,Kling 2.0,0.77,0
VID_0272,CREATOR_030,AI Shorts,194,Seedance Pro,0.813,0
VID_0273,CREATOR_033,AI Shorts,66,Sora 2,0.691,1
VID_0274,CREATOR_115,AI Shorts,44,Sora 2,0.78,0
VID_0275,CREATOR_079,AI Animation,245,Sora 2,0.994,0
VID_0276,CREATOR_023,AI Shorts,226,Sora 2,0.795,1
VID_0277,CREATOR_105,AI Animation,89,Sora 2,0.604,1
VID_0278,CREATOR_022,Drama,268,Kling 2.0,0.697,1
VID_0279,CREATOR_020,Documentaries,78,Sora 2,0.991,1
VID_0280,CREATOR_054,Documentaries,280,Seedance Pro,0.996,1
VID_0281,CREATOR_083,Horror,47,Sora 2,0.684,0
VID_0282,CREATOR_023,AI Shorts,203,Seedance Pro,0.846,1
VID_0283,CREATOR_091,Drama,20,Sora 2,0.631,1
VID_0284,CREATOR_019,Sci-Fi,71,Flux,0.831,1
VID_0285,CREATOR_094,AI Shorts,130,Kling 2.0,0.65,0
VID_0286,CREATOR_012,AI Animation,39,Flux,0.927,0
VID_0287,CREATOR_056,Sci-Fi,145,Kling 2.0,0.976,1
VID_0288,CREATOR_077,Documentaries,81,Kling 2.0,0.669,0
VID_0289,CREATOR_032,Horror,43,Kling 2.0,0.785,0
VID_0290,CREATOR_074,AI Shorts,290,Kling 2.0,0.641,1
VID_0291,CREATOR_083,AI Animation,295,Seedance Pro,0.736,1
VID_0292,CREATOR_079,Drama,290,Seedance Pro,0.626,0
VID_0293,CREATOR_048,AI Animation,59,Flux,0.706,0
VID_0294,CREATOR_093,Horror,124,Kling 2.0,0.996,0
VID_0295,CREATOR_088,Documentaries,108,Seedance Pro,0.618,1
VID_0296,CREATOR_040,AI Animation,108,Flux,0.944,1
VID_0297,CREATOR_089,AI Animation,134,Sora 2,0.631,0
VID_0298,CREATOR_111,AI Animation,160,Sora 2,0.812,1
VID_0299,CREATOR_099,Sci-Fi,153,Flux,0.781,0
VID_0300,CREATOR_088,AI Animation,98,Kling 2.0,0.973,0
VID_0301,CREATOR_092,Sci-Fi,295,Sora 2,0.68,0
VID_0302,CREATOR_097,Sci-Fi,295,Flux,0.672,1
VID_0303,CREATOR_035,AI Animation,109,Kling 2.0,0.899,0
VID_0304,CREATOR_087,Sci-Fi,78,Sora 2,0.89,0
VID_0305,CREATOR_024,Drama,167,Sora 2,0.88,1
VID_0306,CREATOR_044,Sci-Fi,120,Flux,0.61,1
VID_0307,CREATOR_113,Horror,297,Seedance Pro,0.704,0
VID_0308,CREATOR_034,AI Animation,137,Seedance Pro,0.936,0
VID_0309,CREATOR_102,Sci-Fi,26,Flux,0.84,0
VID_0310,CREATOR_051,Sci-Fi,50,Sora 2,0.841,1
VID_0311,CREATOR_026,Drama,36,Flux,0.718,1
VID_0312,CREATOR_012,AI Animation,124,Sora 2,0.704,0
VID_0313,CREATOR_066,AI Shorts,105,Kling 2.0,0.979,1
VID_0314,CREATOR_055,Sci-Fi,260,Flux,0.891,1
VID_0315,CREATOR_062,Documentaries,269,Flux,0.651,0
VID_0316,CREATOR_006,Sci-Fi,55,Sora 2,0.975,0
VID_0317,CREATOR_033,AI Animation,285,Seedance Pro,0.833,0
VID_0318,CREATOR_001,Horror,182,Flux,0.733,0
VID_0319,CREATOR_037,AI Animation,102,Sora 2,0.759,1
VID_0320,CREATOR_112,AI Animation,131,Kling 2.0,0.89,0
VID_0321,CREATOR_019,Horror,141,Kling 2.0,0.751,1
VID_0322,CREATOR_083,AI Animation,63,Sora 2,0.831,1
VID_0323,CREATOR_001,Sci-Fi,263,Sora 2,0.884,1
VID_0324,CREATOR_068,AI Animation,18,Kling 2.0,0.678,1
VID_0325,CREATOR_111,Sci-Fi,34,Kling 2.0,0.978,1
VID_0326,CREATOR_041,Documentaries,93,Kling 2.0,0.742,1
VID_0327,CREATOR_024,AI Shorts,56,Flux,0.768,1
VID_0328,CREATOR_069,AI Shorts,32,Flux,0.879,1
VID_0329,CREATOR_034,AI Animation,124,Sora 2,0.844,0
VID_0330,CREATOR_107,Drama,122,Kling 2.0,0.776,1
VID_0331,CREATOR_102,Drama,50,Kling 2.0,0.86,0
VID_0332,CREATOR_079,Sci-Fi,246,Kling 2.0,0.961,1
VID_0333,CREATOR_077,Horror,267,Sora 2,0.92,1
VID_0334,CREATOR_073,AI Shorts,220,Kling 2.0,0.93,1
VID_0335,CREATOR_089,Drama,164,Sora 2,0.703,1
VID_0336,CREATOR_056,AI Animation,285,Seedance Pro,0.768,0
VID_0337,CREATOR_117,Sci-Fi,115,Sora 2,0.822,1
VID_0338,CREATOR_042,Drama,137,Seedance Pro,0.618,0
VID_0339,CREATOR_002,Drama,19,Kling 2.0,0.908,1
VID_0340,CREATOR_084,AI Animation,217,Kling 2.0,0.729,1
VID_0341,CREATOR_080,Sci-Fi,41,Seedance Pro,0.713,0
VID_0342,CREATOR_118,Horror,205,Sora 2,0.704,1
VID_0343,CREATOR_048,AI Animation,238,Flux,0.713,0
VID_0344,CREATOR_051,AI Animation,77,Seedance Pro,0.735,1
VID_0345,CREATOR_068,AI Shorts,190,Sora 2,0.842,1
VID_0346,CREATOR_048,Sci-Fi,101,Sora 2,0.833,1
VID_0347,CREATOR_095,Sci-Fi,128,Sora 2,0.702,1
VID_0348,CREATOR_052,Sci-Fi,166,Kling 2.0,0.683,1
VID_0349,CREATOR_095,Documentaries,86,Kling 2.0,0.931,1
VID_0350,CREATOR_052,AI Animation,242,Kling 2.0,0.637,1
VID_0351,CREATOR_028,Drama,127,Seedance Pro,0.805,1
VID_0352,CREATOR_119,Documentaries,147,Flux,0.808,1
VID_0353,CREATOR_064,Drama,248,Kling 2.0,0.83,1
VID_0354,CREATOR_085,AI Shorts,80,Kling 2.0,0.954,1
VID_0355,CREATOR_071,AI Shorts,144,Flux,0.85,0
VID_0356,CREATOR_044,AI Animation,299,Seedance Pro,0.989,0
VID_0357,CREATOR_117,AI Shorts,129,Kling 2.0,0.949,0
VID_0358,CREATOR_045,Documentaries,48,Sora 2,0.686,0
VID_0359,CREATOR_120,Drama,96,Seedance Pro,0.696,1
VID_0360,CREATOR_052,AI Animation,288,Seedance Pro,0.738,0
VID_0361,CREATOR_003,AI Animation,232,Seedance Pro,0.757,1
VID_0362,CREATOR_005,Horror,246,Kling 2.0,0.821,0
VID_0363,CREATOR_117,Sci-Fi,87,Kling 2.0,0.693,0
VID_0364,CREATOR_064,Horror,254,Sora 2,0.689,1
VID_0365,CREATOR_047,AI Animation,127,Kling 2.0,0.753,1
VID_0366,CREATOR_098,Drama,242,Seedance Pro,0.869,1
VID_0367,CREATOR_075,Horror,266,Kling 2.0,0.875,1
VID_0368,CREATOR_080,AI Shorts,74,Flux,0.99,1
VID_0369,CREATOR_083,Sci-Fi,283,Seedance Pro,0.681,1
VID_0370,CREATOR_024,Horror,195,Seedance Pro,0.757,0
VID_0371,CREATOR_011,AI Animation,224,Flux,0.986,0
VID_0372,CREATOR_088,AI Animation,231,Seedance Pro,0.876,1
VID_0373,CREATOR_003,AI Shorts,63,Kling 2.0,0.837,1
VID_0374,CREATOR_087,AI Animation,228,Sora 2,0.816,1
VID_0375,CREATOR_016,Drama,75,Kling 2.0,0.63,1
VID_0376,CREATOR_032,Sci-Fi,92,Seedance Pro,0.957,0
VID_0377,CREATOR_085,AI Animation,48,Seedance Pro,0.85,1
VID_0378,CREATOR_075,Horror,66,Kling 2.0,0.829,1
VID_0379,CREATOR_094,Sci-Fi,294,Kling 2.0,0.816,1
VID_0380,CREATOR_074,AI Shorts,108,Sora 2,0.757,0
VID_0381,CREATOR_006,Drama,125,Kling 2.0,0.702,1
VID_0382,CREATOR_101,Horror,152,Seedance Pro,0.902,0
VID_0383,CREATOR_026,AI Shorts,218,Kling 2.0,0.804,1
VID_0384,CREATOR_017,Horror,179,Flux,0.614,0
VID_0385,CREATOR_106,AI Animation,168,Sora 2,0.76,1
VID_0386,CREATOR_024,AI Animation,254,Sora 2,0.971,0
VID_0387,CREATOR_065,Documentaries,156,Kling 2.0,0.75,1
VID_0388,CREATOR_059,Horror,234,Seedance Pro,0.765,1
VID_0389,CREATOR_093,AI Shorts,275,Flux,0.85,0
VID_0390,CREATOR_006,AI Shorts,208,Sora 2,0.921,1
VID_0391,CREATOR_013,AI Shorts,25,Sora 2,0.867,1
VID_0392,CREATOR_050,Sci-Fi,90,Seedance Pro,0.94,1
VID_0393,CREATOR_057,Horror,191,Seedance Pro,0.646,0
VID_0394,CREATOR_095,Horror,151,Seedance Pro,0.97,1
VID_0395,CREATOR_073,AI Shorts,96,Flux,0.962,1
VID_0396,CREATOR_018,AI Animation,110,Seedance Pro,0.808,1
VID_0397,CREATOR_118,AI Animation,37,Kling 2.0,0.85,1
VID_0398,CREATOR_056,Sci-Fi,82,Flux,0.685,1
VID_0399,CREATOR_116,Drama,238,Sora 2,0.779,0
VID_0400,CREATOR_119,AI Shorts,17,Sora 2,0.681,1
VID_0401,CREATOR_007,AI Animation,254,Seedance Pro,0.609,0
