event_id,user_id,video_id,event_timestamp,watch_time_sec,completion_rate,recreated_by_user,liked_by_user,shared_by_user,ad_revenue_usd,creator_credit_earned
EVT_000034,USR_0239,VID_0535,2025-03-19 21:29:11,136,0.67,0,0,0,1.4187,0.0
EVT_000035,USR_0883,VID_0155,2026-06-28 13:58:15,114,0.4318,0,0,0,1.3856,0.0
EVT_000036,USR_1043,VID_0290,2026-03-30 08:43:35,154,0.531,1,1,0,1.4635,4.85
EVT_000037,USR_0975,VID_0518,2025-12-24 11:12:59,29,0.4143,0,0,0,0.0,0.0
EVT_000038,USR_1437,VID_0148,2025-10-19 22:43:29,176,0.6132,0,1,0,2.0754,0.0
EVT_000039,USR_0824,VID_0397,2026-04-18 16:41:51,23,0.6216,0,1,0,0.252,0.0
EVT_000040,USR_0662,VID_0223,2026-06-08 03:23:45,177,0.639,0,0,0,0.0,0.0
EVT_000041,USR_1955,VID_0530,2026-06-15 09:18:15,233,0.8292,0,0,1,2.7123,0.0
EVT_000042,USR_1128,VID_0171,2026-05-27 01:52:09,71,0.2399,1,0,0,0.9267,0.66
EVT_000043,USR_0934,VID_0260,2026-06-12 21:35:20,24,0.0882,0,0,0,0.2711,0.0
EVT_000044,USR_1566,VID_0421,2026-01-23 09:34:09,151,0.5374,0,0,1,2.054,0.0
EVT_000045,USR_0807,VID_0403,2026-04-10 01:44:32,207,0.8415,0,1,0,0.0,0.0
EVT_000046,USR_1482,VID_0066,2025-05-11 22:23:38,89,0.4972,0,0,0,0.9976,0.0
EVT_000047,USR_1444,VID_0053,2025-05-17 20:23:26,44,0.3929,0,0,0,0.0,0.0
EVT_000048,USR_1058,VID_0513,2025-09-03 23:13:43,44,0.3607,0,1,0,0.588,0.0
EVT_000049,USR_1594,VID_0457,2026-01-05 08:27:17,214,0.8359,0,1,0,3.1521,0.0
EVT_000050,USR_0847,VID_0090,2025-12-16 11:50:40,71,0.5726,0,0,0,0.9859,0.0
EVT_000051,USR_1609,VID_0389,2026-01-02 12:09:58,201,0.7309,1,0,0,0.0,1.01
EVT_000052,USR_1394,VID_0170,2025-06-12 18:02:45,55,0.5238,0,1,0,0.7816,0.0
EVT_000053,USR_0263,VID_0244,2025-11-14 19:50:11,107,0.3627,0,0,0,0.0,0.0
EVT_000054,USR_1394,VID_0377,2025-04-20 12:55:03,12,0.25,0,1,0,0.0972,0.0
EVT_000055,USR_1162,VID_0384,2026-04-11 13:01:05,106,0.5922,0,0,0,0.0,0.0
EVT_000056,USR_1628,VID_0213,2025-08-22 02:43:22,67,0.2638,0,0,0,0.8713,0.0
EVT_000057,USR_1732,VID_0499,2025-05-14 04:29:14,74,0.7255,1,0,0,0.0,1.88
EVT_000058,USR_0815,VID_0307,2025-07-02 15:40:31,195,0.6566,0,0,0,0.0,0.0
EVT_000059,USR_0372,VID_0488,2025-10-13 10:53:24,27,0.6429,0,0,0,0.318,0.0
EVT_000060,USR_1531,VID_0342,2025-11-11 03:31:29,99,0.4829,0,0,0,1.2585,0.0
EVT_000061,USR_1438,VID_0214,2026-02-22 02:31:41,153,0.6194,0,1,0,0.0,0.0
EVT_000062,USR_0884,VID_0156,2026-01-25 15:44:55,32,0.4507,0,0,0,0.0,0.0
EVT_000063,USR_1412,VID_0008,2026-06-29 21:25:54,49,0.4667,0,0,0,0.6574,0.0
EVT_000064,USR_0157,VID_0321,2025-10-17 05:46:14,109,0.773,0,1,0,1.6268,0.0
EVT_000065,USR_1779,VID_0334,2025-11-19 13:02:16,143,0.65,0,1,0,2.1656,0.0
EVT_000066,USR_1087,VID_0564,2026-05-11 06:19:11,119,0.8561,1,0,0,1.4983,1.07
EVT_000067,USR_1276,VID_0156,2025-11-08 19:37:29,31,0.4366,0,1,0,0.0,0.0
EVT_000068,USR_0864,VID_0002,2026-02-25 16:11:53,91,0.7778,0,1,0,0.0,0.0
EVT_000069,USR_1929,VID_0537,2025-02-17 08:16:35,99,0.6387,0,0,0,0.0,0.0
EVT_000070,USR_0434,VID_0358,2026-05-25 11:09:30,37,0.7708,0,1,0,0.0,0.0
EVT_000071,USR_0169,VID_0030,2025-12-29 12:48:12,140,0.6114,0,1,0,2.1387,0.0
EVT_000072,USR_1116,VID_0193,2025-05-21 19:55:32,170,0.6464,1,0,0,2.278,1.58
EVT_000073,USR_0701,VID_0583,2025-09-26 11:40:47,134,0.8874,0,0,0,1.6162,0.0
EVT_000074,USR_1694,VID_0518,2026-05-06 16:19:35,36,0.5143,0,1,0,0.0,0.0
EVT_000075,USR_0548,VID_0333,2025-05-19 11:18:42,226,0.8464,1,1,1,3.3223,2.45
EVT_000076,USR_1952,VID_0058,2025-02-05 07:04:47,77,0.7476,0,1,0,0.914,0.0
EVT_000077,USR_0953,VID_0391,2025-10-03 14:42:20,9,0.36,0,0,0,0.1129,0.0
EVT_000078,USR_1155,VID_0037,2026-02-08 18:39:02,4,0.1,0,1,0,0.0457,0.0
EVT_000079,USR_1432,VID_0235,2026-03-11 23:28:14,137,0.8303,0,0,0,0.0,0.0
EVT_000080,USR_1056,VID_0243,2026-04-02 01:33:08,71,0.4438,0,1,0,0.0,0.0
EVT_000081,USR_1259,VID_0466,2026-03-17 23:26:42,31,0.5962,0,0,0,0.4028,0.0
EVT_000082,USR_1273,VID_0405,2025-12-16 17:38:09,94,0.373,0,0,0,1.0164,0.0
EVT_000083,USR_1725,VID_0288,2026-01-26 06:34:47,16,0.1975,0,0,0,0.0,0.0
EVT_000084,USR_0212,VID_0004,2026-03-24 09:14:57,130,0.7879,0,1,0,1.6063,0.0
EVT_000085,USR_0352,VID_0011,2025-08-24 16:15:10,53,0.265,0,0,0,0.6302,0.0
EVT_000086,USR_1180,VID_0487,2025-10-12 07:15:02,71,0.5504,0,0,0,0.0,0.0
EVT_000087,USR_1027,VID_0391,2026-07-28 08:07:35,14,0.56,1,1,0,0.1629,2.24
EVT_000088,USR_1360,VID_0202,2025-08-08 12:32:37,145,0.6388,0,0,0,0.0,0.0
EVT_000089,USR_0895,VID_0451,2026-05-22 16:46:26,177,0.6041,0,0,0,1.8456,0.0
EVT_000090,USR_1672,VID_0553,2026-03-16 21:46:15,59,0.5,0,1,0,0.0,0.0
EVT_000091,USR_1620,VID_0008,2025-03-25 20:24:16,84,0.8,0,0,0,1.1439,0.0
EVT_000092,USR_0827,VID_0544,2026-03-15 06:09:43,34,0.2,0,0,0,0.4276,0.0
EVT_000093,USR_1674,VID_0149,2025-08-15 04:35:49,83,0.8384,0,0,0,0.9793,0.0
EVT_000094,USR_1636,VID_0459,2026-01-25 23:59:06,75,0.5396,1,0,1,0.0,0.97
EVT_000095,USR_1674,VID_0355,2025-07-08 22:30:23,68,0.4722,0,0,0,0.0,0.0
EVT_000096,USR_1540,VID_0443,2026-01-29 14:07:59,59,0.298,0,0,0,0.0,0.0
EVT_000097,USR_0121,VID_0071,2026-03-07 16:44:13,4,0.1429,0,0,0,0.0475,0.0
EVT_000098,USR_0121,VID_0361,2026-03-08 06:03:02,34,0.1466,0,0,0,0.4185,0.0
EVT_000099,USR_1838,VID_0580,2026-01-21 14:49:02,137,0.6749,0,0,0,1.6361,0.0
EVT_000100,USR_1996,VID_0477,2026-05-02 16:35:11,45,0.4891,0,0,0,0.5462,0.0
EVT_000101,USR_0962,VID_0480,2026-01-15 07:09:14,38,0.6441,0,0,0,0.466,0.0
EVT_000102,USR_0196,VID_0107,2025-08-18 17:38:57,72,0.2697,0,0,0,0.8398,0.0
EVT_000103,USR_0523,VID_0166,2025-09-20 09:02:34,50,0.5376,0,0,0,0.524,0.0
EVT_000104,USR_1488,VID_0491,2026-01-14 12:45:23,102,0.5795,0,0,0,1.2155,0.0
EVT_000105,USR_0190,VID_0242,2025-10-10 01:05:28,236,0.7946,0,1,0,3.0953,0.0
EVT_000106,USR_1436,VID_0340,2026-07-23 03:08:02,198,0.9124,0,0,0,2.5516,0.0
EVT_000107,USR_1370,VID_0101,2026-01-17 15:07:11,192,0.6486,0,0,0,0.0,0.0
EVT_000108,USR_0832,VID_0470,2026-03-31 19:33:45,77,0.7476,0,1,0,1.0046,0.0
EVT_000109,USR_1567,VID_0268,2025-08-08 13:36:53,17,0.34,1,0,0,0.1604,4.03
EVT_000110,USR_0816,VID_0297,2026-06-05 19:26:44,51,0.3806,0,0,0,0.0,0.0
EVT_000111,USR_1052,VID_0572,2025-07-15 19:15:18,71,0.5462,0,1,0,0.8594,0.0
EVT_000112,USR_1420,VID_0379,2026-06-23 18:21:55,256,0.8707,1,0,0,2.6997,2.06
EVT_000113,USR_1341,VID_0265,2025-06-17 19:49:36,25,0.2747,0,0,0,0.0,0.0
EVT_000114,USR_1602,VID_0205,2025-07-17 18:08:13,152,0.9383,0,0,1,1.4808,0.0
EVT_000115,USR_0659,VID_0361,2026-03-05 19:54:19,50,0.2155,0,0,0,0.7773,0.0
EVT_000116,USR_0330,VID_0255,2025-11-17 09:09:06,26,0.7027,0,0,0,0.0,0.0
EVT_000117,USR_1779,VID_0136,2025-11-24 09:27:20,32,0.5,0,0,0,0.0,0.0
EVT_000118,USR_0426,VID_0219,2026-05-31 11:49:31,94,0.5281,0,0,1,0.0,0.0
EVT_000119,USR_1793,VID_0173,2025-09-16 12:55:36,17,0.2464,1,0,0,0.2,3.31
EVT_000120,USR_1920,VID_0445,2026-07-17 15:52:30,77,0.7857,0,1,1,0.7909,0.0
EVT_000121,USR_0208,VID_0302,2026-04-15 13:05:45,232,0.7864,0,0,0,2.6118,0.0
EVT_000122,USR_1290,VID_0121,2026-05-22 03:58:36,37,0.3776,0,0,0,0.39,0.0
EVT_000123,USR_1608,VID_0090,2025-10-13 09:28:05,103,0.8306,0,0,0,1.1639,0.0
EVT_000124,USR_0756,VID_0559,2025-09-17 14:30:05,90,0.4945,0,0,0,0.0,0.0
EVT_000125,USR_0449,VID_0534,2025-06-04 00:42:43,155,0.7045,0,0,0,1.8092,0.0
EVT_000126,USR_1766,VID_0498,2025-05-16 02:38:41,95,0.426,0,0,0,0.0,0.0
EVT_000127,USR_0593,VID_0441,2025-11-01 22:27:00,39,0.1674,0,0,0,0.0,0.0
EVT_000128,USR_0076,VID_0518,2025-10-22 20:20:52,56,0.8,1,0,0,0.0,3.02
EVT_000129,USR_1323,VID_0389,2025-01-15 13:56:54,185,0.6727,0,0,0,0.0,0.0
EVT_000130,USR_0793,VID_0549,2025-11-18 02:52:33,163,0.6417,0,0,0,1.7885,0.0
EVT_000131,USR_1938,VID_0552,2026-03-18 06:06:29,8,0.5,0,1,0,0.0961,0.0
EVT_000132,USR_1270,VID_0262,2026-02-12 18:32:16,8,0.5333,0,1,0,0.0,0.0
EVT_000133,USR_1931,VID_0150,2026-04-19 17:31:42,81,0.4629,0,1,0,0.8902,0.0
EVT_000134,USR_0039,VID_0536,2025-09-14 05:19:40,66,0.9296,1,1,0,0.9434,2.51
EVT_000135,USR_0426,VID_0496,2026-05-19 01:34:43,127,0.5451,0,0,0,0.0,0.0
EVT_000136,USR_0760,VID_0267,2026-02-06 22:16:50,94,0.6483,1,0,0,1.0242,2.89
EVT_000137,USR_1340,VID_0546,2026-03-03 17:20:11,100,0.4444,0,0,0,1.2891,0.0
EVT_000138,USR_0170,VID_0061,2026-07-01 15:47:27,82,0.3814,0,0,0,1.1954,0.0
EVT_000139,USR_0549,VID_0493,2026-04-26 20:57:54,43,0.7544,0,1,0,0.4573,0.0
EVT_000140,USR_0848,VID_0030,2026-04-02 10:20:50,206,0.8996,0,0,0,2.808,0.0
EVT_000141,USR_1273,VID_0062,2025-12-22 02:35:32,41,0.4881,0,0,0,0.3804,0.0
EVT_000142,USR_1996,VID_0039,2026-05-19 01:02:50,114,0.5302,0,1,0,1.7616,0.0
EVT_000143,USR_1802,VID_0048,2026-05-11 23:28:23,55,0.3438,0,0,0,0.6581,0.0
EVT_000144,USR_0121,VID_0113,2026-03-19 14:34:19,64,0.7111,0,0,0,0.7307,0.0
EVT_000145,USR_1651,VID_0218,2025-11-16 17:47:16,9,0.6,0,1,0,0.1031,0.0
EVT_000146,USR_1877,VID_0216,2025-10-16 09:04:22,2,0.0667,0,0,1,0.0239,0.0
EVT_000147,USR_0798,VID_0253,2025-09-28 02:38:17,48,0.5217,0,1,0,0.6189,0.0
EVT_000148,USR_0269,VID_0588,2025-06-27 19:09:32,100,0.6452,0,0,0,1.1724,0.0
EVT_000149,USR_0723,VID_0307,2025-06-14 19:05:32,154,0.5185,0,1,0,0.0,0.0
EVT_000150,USR_1505,VID_0145,2026-05-15 19:01:31,188,0.8704,0,1,0,0.0,0.0
EVT_000151,USR_0176,VID_0083,2025-04-05 12:25:31,15,0.053,0,0,0,0.1674,0.0
EVT_000152,USR_1578,VID_0548,2026-05-25 16:29:19,134,0.67,1,0,1,1.4111,2.05
EVT_000153,USR_0927,VID_0166,2025-08-26 07:32:13,77,0.828,0,1,0,0.9396,0.0
EVT_000154,USR_1033,VID_0487,2026-02-10 06:25:39,60,0.4651,1,0,0,0.0,0.69
EVT_000155,USR_1395,VID_0474,2026-05-27 00:47:58,28,0.5283,0,0,0,0.3153,0.0
EVT_000156,USR_0412,VID_0517,2026-03-23 04:09:03,59,0.4126,0,0,0,0.6955,0.0
EVT_000157,USR_1642,VID_0088,2025-06-14 10:26:23,57,0.3081,0,1,0,0.0,0.0
EVT_000158,USR_0743,VID_0471,2026-06-18 11:55:45,33,0.2245,0,0,0,0.4622,0.0
EVT_000159,USR_1002,VID_0470,2026-01-09 10:45:14,60,0.5825,0,1,0,0.6335,0.0
EVT_000160,USR_0212,VID_0584,2026-04-02 10:51:23,44,0.4783,0,0,0,0.3642,0.0
EVT_000161,USR_1712,VID_0425,2025-12-08 05:13:03,115,0.5324,0,1,0,1.297,0.0
EVT_000162,USR_1829,VID_0072,2026-06-18 16:09:02,151,0.6959,0,1,0,1.3153,0.0
EVT_000163,USR_0155,VID_0275,2025-06-29 10:40:18,79,0.3224,1,0,0,0.0,0.59
EVT_000164,USR_0312,VID_0288,2026-01-20 12:47:15,18,0.2222,0,0,0,0.0,0.0
EVT_000165,USR_0333,VID_0285,2026-04-05 14:07:43,69,0.5308,0,1,0,0.0,0.0
EVT_000166,USR_1820,VID_0206,2026-03-22 11:52:42,84,0.4516,0,0,0,0.717,0.0
EVT_000167,USR_1846,VID_0481,2026-05-11 13:13:11,101,0.5401,0,0,0,1.5917,0.0
EVT_000168,USR_0189,VID_0171,2026-05-12 11:32:20,50,0.1689,0,0,0,0.4336,0.0
EVT_000169,USR_1022,VID_0267,2026-04-25 09:05:02,98,0.6759,0,0,0,1.3356,0.0
EVT_000170,USR_1868,VID_0269,2025-09-29 12:06:06,107,0.6407,0,0,0,1.1985,0.0
EVT_000171,USR_1546,VID_0386,2025-12-19 16:20:55,128,0.5039,0,0,1,0.0,0.0
EVT_000172,USR_0112,VID_0289,2025-09-05 20:55:54,37,0.8605,0,0,0,0.0,0.0
EVT_000173,USR_0445,VID_0583,2025-10-15 02:18:49,71,0.4702,0,0,0,0.7082,0.0
EVT_000174,USR_1110,VID_0592,2025-09-21 04:06:03,224,0.7778,0,1,0,0.0,0.0
EVT_000175,USR_1510,VID_0279,2026-04-23 02:56:17,59,0.7564,0,1,0,0.5559,0.0
EVT_000176,USR_0169,VID_0159,2025-12-01 00:27:01,8,0.5333,0,1,0,0.0,0.0
EVT_000177,USR_1386,VID_0457,2025-04-26 19:50:30,130,0.5078,0,0,1,1.9889,0.0
EVT_000178,USR_0284,VID_0548,2025-10-13 05:19:27,31,0.155,0,0,0,0.3914,0.0
EVT_000179,USR_1298,VID_0533,2025-08-06 06:58:23,60,0.5357,0,0,0,0.0,0.0
EVT_000180,USR_1809,VID_0101,2025-12-27 07:26:48,248,0.8378,0,1,0,0.0,0.0
EVT_000181,USR_0760,VID_0032,2026-02-02 20:42:04,160,0.597,0,0,0,0.0,0.0
EVT_000182,USR_1307,VID_0400,2026-03-08 14:41:52,5,0.2941,0,0,0,0.0695,0.0
EVT_000183,USR_0676,VID_0181,2025-12-31 02:31:30,239,0.8505,0,1,0,3.108,0.0
EVT_000184,USR_0161,VID_0184,2025-07-20 20:13:23,39,0.4432,0,1,0,0.0,0.0
EVT_000185,USR_1379,VID_0018,2026-03-16 23:39:24,161,0.5421,1,1,0,2.0976,3.11
EVT_000186,USR_0361,VID_0577,2026-06-25 17:06:48,35,0.3465,0,0,0,0.0,0.0
EVT_000187,USR_1125,VID_0001,2026-01-08 11:35:17,120,0.9091,0,1,0,1.5517,0.0
EVT_000188,USR_0055,VID_0381,2026-05-01 23:57:32,56,0.448,0,0,0,0.6205,0.0
EVT_000189,USR_0493,VID_0556,2026-04-15 01:01:34,214,0.7304,0,0,0,2.4479,0.0
EVT_000190,USR_1155,VID_0039,2026-04-12 00:01:01,139,0.6465,0,0,0,1.787,0.0
EVT_000191,USR_0239,VID_0370,2025-04-13 18:42:35,70,0.359,0,0,0,0.0,0.0
EVT_000192,USR_0284,VID_0555,2025-10-02 04:33:46,49,0.1835,0,0,0,0.4837,0.0
EVT_000193,USR_1946,VID_0247,2026-06-22 01:23:37,102,0.3656,0,0,0,1.2379,0.0
EVT_000194,USR_1938,VID_0177,2026-03-09 02:05:24,35,0.9459,1,1,0,0.0,2.6
EVT_000195,USR_0628,VID_0423,2025-06-21 10:47:31,151,0.858,0,1,0,1.9051,0.0
EVT_000196,USR_0037,VID_0557,2025-07-10 15:55:34,44,0.1492,0,0,0,0.4109,0.0
EVT_000197,USR_1436,VID_0336,2026-07-14 10:39:24,201,0.7053,0,0,1,0.0,0.0
EVT_000198,USR_0078,VID_0009,2026-05-03 10:14:49,27,0.7714,0,0,0,0.3631,0.0
EVT_000199,USR_0675,VID_0411,2026-03-22 03:30:41,35,0.2991,1,1,0,0.4049,3.03
EVT_000200,USR_1938,VID_0132,2026-03-09 07:28:16,51,0.2898,0,0,0,0.0,0.0
EVT_000201,USR_0554,VID_0594,2026-07-04 22:40:33,40,0.7692,0,0,0,0.4219,0.0
EVT_000202,USR_0147,VID_0168,2025-11-18 07:30:13,143,0.6111,0,0,0,1.8873,0.0
EVT_000203,USR_1111,VID_0382,2025-07-29 08:14:38,43,0.2829,0,0,0,0.0,0.0
EVT_000204,USR_0575,VID_0413,2026-07-12 21:25:53,31,0.108,1,0,0,0.3577,4.57
EVT_000205,USR_0414,VID_0268,2026-06-06 01:32:08,31,0.62,0,1,0,0.3542,0.0
EVT_000206,USR_1181,VID_0479,2026-04-28 01:48:43,165,0.6762,0,1,0,0.0,0.0
EVT_000207,USR_0593,VID_0538,2025-11-08 21:30:02,104,0.6228,0,0,0,0.0,0.0
EVT_000208,USR_1802,VID_0379,2026-03-26 07:31:17,187,0.6361,0,0,0,2.234,0.0
EVT_000209,USR_0595,VID_0453,2025-01-20 05:43:12,176,0.6642,1,0,0,0.0,2.69
EVT_000210,USR_1043,VID_0038,2026-04-11 11:59:50,67,0.7053,0,1,0,0.5916,0.0
EVT_000211,USR_0002,VID_0146,2026-01-22 00:54:47,51,0.593,0,1,0,0.6012,0.0
EVT_000212,USR_1318,VID_0261,2025-04-22 09:52:41,159,0.6463,0,1,1,0.0,0.0
EVT_000213,USR_1043,VID_0079,2026-04-07 00:16:54,46,0.1736,0,0,0,0.0,0.0
EVT_000214,USR_1507,VID_0297,2026-04-20 16:30:02,95,0.709,0,1,0,0.0,0.0
EVT_000215,USR_0631,VID_0044,2026-06-12 20:26:51,97,0.4025,0,0,0,1.4267,0.0
EVT_000216,USR_0887,VID_0216,2025-12-13 14:34:46,23,0.7667,1,1,0,0.2873,3.28
EVT_000217,USR_1699,VID_0037,2026-06-22 04:21:25,15,0.375,0,0,0,0.1975,0.0
EVT_000218,USR_1421,VID_0252,2026-04-27 19:12:40,142,0.8659,1,0,0,1.6801,0.53
EVT_000219,USR_1160,VID_0244,2026-05-04 15:53:46,267,0.9051,0,0,0,0.0,0.0
EVT_000220,USR_1875,VID_0290,2026-06-10 20:15:35,58,0.2,0,0,0,0.5608,0.0
EVT_000221,USR_1468,VID_0595,2025-09-21 21:53:26,38,0.2923,0,0,0,0.4786,0.0
EVT_000222,USR_1941,VID_0333,2025-09-14 09:35:54,236,0.8839,0,0,0,3.3023,0.0
EVT_000223,USR_0549,VID_0089,2026-04-26 23:22:02,169,0.5848,1,0,0,1.9252,3.63
EVT_000224,USR_0494,VID_0379,2025-11-13 20:47:08,168,0.5714,0,1,0,2.2386,0.0
EVT_000225,USR_0827,VID_0588,2026-03-18 14:04:18,27,0.1742,0,0,0,0.2016,0.0
EVT_000226,USR_0575,VID_0127,2026-08-18 15:10:19,53,0.3813,0,0,0,0.4794,0.0
EVT_000227,USR_1577,VID_0049,2026-05-10 10:48:28,50,0.2907,0,0,0,0.0,0.0
EVT_000228,USR_0484,VID_0542,2025-11-23 20:38:56,94,0.5912,0,1,1,0.0,0.0
EVT_000229,USR_1349,VID_0104,2025-12-31 01:16:56,213,0.732,0,0,1,2.3166,0.0
EVT_000230,USR_0519,VID_0497,2025-03-13 11:10:08,98,0.8522,1,0,0,0.0,1.56
EVT_000231,USR_1225,VID_0257,2025-09-12 02:24:36,85,0.4146,0,0,0,0.0,0.0
EVT_000232,USR_1849,VID_0472,2025-12-27 00:36:49,88,0.4231,0,1,0,1.055,0.0
EVT_000233,USR_0744,VID_0428,2025-01-26 22:34:47,136,0.8193,0,0,0,1.5759,0.0
EVT_000234,USR_0305,VID_0484,2026-06-14 15:47:28,147,0.6743,0,1,0,0.0,0.0
EVT_000235,USR_0183,VID_0457,2026-02-03 11:01:52,169,0.6602,0,0,0,2.1985,0.0
EVT_000236,USR_1421,VID_0316,2026-04-18 23:11:02,38,0.6909,0,0,0,0.0,0.0
EVT_000237,USR_0697,VID_0147,2026-05-13 02:12:01,176,0.6875,1,1,1,1.2595,4.41
EVT_000238,USR_1840,VID_0572,2026-05-10 22:19:36,86,0.6615,0,0,0,1.0243,0.0
EVT_000239,USR_0339,VID_0114,2025-05-25 11:37:41,18,0.1856,0,0,0,0.2351,0.0
EVT_000240,USR_0928,VID_0220,2026-06-24 03:38:56,80,0.4819,0,0,0,0.7443,0.0
EVT_000241,USR_0331,VID_0169,2026-04-27 07:04:44,206,0.689,0,0,0,2.7459,0.0
EVT_000242,USR_0811,VID_0252,2025-01-23 11:44:57,23,0.1402,0,1,0,0.2702,0.0
EVT_000243,USR_0556,VID_0150,2025-09-18 19:22:10,136,0.7771,0,1,0,1.2731,0.0
EVT_000244,USR_0135,VID_0490,2026-05-02 20:56:50,143,0.5543,0,0,1,0.0,0.0
EVT_000245,USR_0934,VID_0263,2026-04-27 03:04:39,89,0.4759,0,0,0,0.8488,0.0
EVT_000246,USR_1106,VID_0522,2026-05-03 09:59:48,134,0.7363,0,0,0,1.6489,0.0
EVT_000247,USR_1656,VID_0019,2026-01-07 09:48:22,195,0.9559,0,1,0,0.0,0.0
EVT_000248,USR_1068,VID_0270,2026-05-15 12:26:09,16,0.2581,0,0,0,0.2674,0.0
EVT_000249,USR_0582,VID_0351,2026-02-17 13:21:44,86,0.6772,0,0,0,1.0978,0.0
EVT_000250,USR_0054,VID_0509,2026-04-05 23:56:32,212,0.7709,0,0,0,2.1596,0.0
EVT_000251,USR_0334,VID_0439,2026-06-15 06:24:31,25,0.2551,0,0,0,0.0,0.0
EVT_000252,USR_1191,VID_0380,2026-02-15 11:35:00,46,0.4259,0,1,0,0.0,0.0
EVT_000253,USR_0135,VID_0507,2026-04-11 06:36:03,147,0.5787,0,1,0,1.5984,0.0
EVT_000254,USR_1700,VID_0233,2026-04-26 04:33:38,129,0.8062,0,0,0,0.0,0.0
EVT_000255,USR_0550,VID_0574,2026-01-14 09:33:27,29,0.3258,0,0,0,0.0,0.0
EVT_000256,USR_1817,VID_0544,2026-04-29 00:55:41,28,0.1647,0,0,0,0.2713,0.0
EVT_000257,USR_0010,VID_0546,2026-01-08 18:44:14,197,0.8756,0,0,1,3.0857,0.0
EVT_000258,USR_1829,VID_0302,2026-06-27 11:04:22,98,0.3322,0,0,0,0.9779,0.0
EVT_000259,USR_1229,VID_0056,2026-06-21 10:38:01,164,0.5964,0,0,0,0.0,0.0
