user_id,signup_date,acquisition_channel,subscription_plan
USR_0169,2025-11-05,Organic,Free
USR_0170,2026-06-18,Creator_Referral,Free
USR_0171,2025-10-22,Creator_Referral,Creator_Tier
USR_0172,2026-02-01,Organic,Pro
USR_0173,2025-10-02,Creator_Referral,Creator_Tier
USR_0174,2026-06-14,Organic,Free
USR_0175,2025-08-01,Creator_Referral,Pro
USR_0176,2025-03-30,Creator_Referral,Free
USR_0177,2025-12-31,Creator_Referral,Free
USR_0178,2026-06-29,Paid_Social,Creator_Tier
USR_0179,2026-06-02,Organic,Pro
USR_0180,2026-04-22,Search_Ads,Pro
USR_0181,2026-06-02,Paid_Social,Pro
USR_0182,2026-06-03,Search_Ads,Free
USR_0183,2026-02-03,Paid_Social,Pro
USR_0184,2025-11-04,Organic,Free
USR_0185,2026-04-29,Creator_Referral,Creator_Tier
USR_0186,2026-03-25,Organic,Pro
USR_0187,2025-12-03,Paid_Social,Free
USR_0188,2025-05-30,Creator_Referral,Free
USR_0189,2026-04-21,Organic,Free
USR_0190,2025-10-05,Search_Ads,Free
USR_0191,2026-06-14,Organic,Free
USR_0192,2025-09-22,Creator_Referral,Pro
USR_0193,2025-06-27,Paid_Social,Free
USR_0194,2026-05-16,Organic,Pro
USR_0195,2025-07-23,Creator_Referral,Free
USR_0196,2025-08-12,Paid_Social,Free
USR_0197,2026-03-04,Organic,Free
USR_0198,2026-05-28,Creator_Referral,Pro
USR_0199,2025-08-24,Organic,Free
USR_0200,2025-11-01,Paid_Social,Free
USR_0201,2026-05-01,Organic,Free
USR_0202,2026-06-23,Search_Ads,Pro
USR_0203,2026-01-27,Search_Ads,Free
USR_0204,2025-07-15,Organic,Free
USR_0205,2025-02-04,Organic,Pro
USR_0206,2025-09-15,Creator_Referral,Pro
USR_0207,2025-07-05,Paid_Social,Free
USR_0208,2026-03-31,Creator_Referral,Free
USR_0209,2025-06-26,Organic,Free
USR_0210,2026-01-29,Organic,Free
USR_0211,2026-04-05,Search_Ads,Pro
USR_0212,2026-02-26,Creator_Referral,Free
USR_0213,2025-08-27,Search_Ads,Free
USR_0214,2026-05-08,Creator_Referral,Free
USR_0215,2026-04-12,Search_Ads,Free
USR_0216,2026-04-19,Organic,Free
USR_0217,2025-07-04,Organic,Pro
USR_0218,2025-06-28,Search_Ads,Free
USR_0219,2026-06-12,Search_Ads,Creator_Tier
USR_0220,2025-12-14,Organic,Pro
USR_0221,2025-10-27,Creator_Referral,Free
USR_0222,2026-01-22,Creator_Referral,Free
USR_0223,2026-03-26,Creator_Referral,Free
USR_0224,2026-06-19,Organic,Free
USR_0225,2025-10-19,Search_Ads,Free
USR_0226,2026-06-11,Organic,Pro
USR_0227,2025-02-25,Paid_Social,Free
USR_0228,2026-02-16,Organic,Free
USR_0229,2026-03-16,Organic,Free
USR_0230,2025-06-11,Paid_Social,Free
USR_0231,2025-07-12,Organic,Creator_Tier
USR_0232,2025-12-24,Paid_Social,Free
USR_0233,2026-06-22,Organic,Pro
USR_0234,2026-03-03,Search_Ads,Pro
USR_0235,2026-06-13,Paid_Social,Free
USR_0236,2026-05-09,Search_Ads,Free
USR_0237,2026-01-13,Organic,Free
USR_0238,2026-05-03,Organic,Pro
USR_0239,2025-02-12,Creator_Referral,Free
USR_0240,2025-06-14,Creator_Referral,Pro
USR_0241,2026-05-16,Organic,Pro
USR_0242,2026-05-06,Organic,Pro
USR_0243,2025-09-17,Creator_Referral,Free
USR_0244,2026-02-07,Organic,Free
USR_0245,2026-03-07,Creator_Referral,Pro
USR_0246,2026-05-27,Organic,Free
USR_0247,2026-03-05,Organic,Pro
USR_0248,2025-12-21,Paid_Social,Free
USR_0249,2025-12-03,Creator_Referral,Free
USR_0250,2025-12-27,Organic,Pro
USR_0251,2026-03-22,Creator_Referral,Free
USR_0252,2026-05-26,Paid_Social,Free
USR_0253,2026-01-08,Creator_Referral,Free
USR_0254,2025-09-27,Creator_Referral,Free
USR_0255,2025-09-20,Search_Ads,Pro
USR_0256,2026-04-21,Creator_Referral,Free
USR_0257,2026-05-12,Search_Ads,Free
USR_0258,2025-06-10,Paid_Social,Free
USR_0259,2025-04-29,Organic,Creator_Tier
USR_0260,2026-03-02,Creator_Referral,Free
USR_0261,2025-07-17,Paid_Social,Creator_Tier
USR_0262,2026-05-14,Search_Ads,Pro
USR_0263,2025-11-01,Creator_Referral,Free
USR_0264,2025-07-15,Organic,Pro
USR_0265,2026-06-10,Creator_Referral,Pro
USR_0266,2025-08-02,Organic,Free
USR_0267,2025-10-18,Paid_Social,Free
USR_0268,2025-07-23,Creator_Referral,Pro
USR_0269,2025-06-20,Paid_Social,Pro
USR_0270,2025-02-18,Search_Ads,Pro
USR_0271,2025-04-14,Paid_Social,Creator_Tier
USR_0272,2025-08-09,Paid_Social,Free
USR_0273,2025-04-11,Paid_Social,Pro
USR_0274,2026-03-01,Paid_Social,Pro
USR_0275,2026-04-01,Search_Ads,Free
USR_0276,2025-12-12,Organic,Free
USR_0277,2025-11-05,Creator_Referral,Free
USR_0278,2026-01-28,Organic,Pro
USR_0279,2026-05-29,Search_Ads,Free
USR_0280,2026-05-22,Paid_Social,Pro
USR_0281,2025-03-28,Creator_Referral,Free
USR_0282,2025-08-14,Organic,Free
USR_0283,2025-09-20,Organic,Free
USR_0284,2025-09-28,Paid_Social,Free
USR_0285,2026-02-22,Organic,Pro
USR_0286,2025-12-22,Organic,Free
USR_0287,2025-04-06,Search_Ads,Creator_Tier
USR_0288,2025-12-03,Paid_Social,Free
USR_0289,2026-02-04,Organic,Creator_Tier
USR_0290,2025-06-07,Organic,Free
USR_0291,2026-05-17,Search_Ads,Free
USR_0292,2025-04-09,Paid_Social,Free
USR_0293,2026-06-11,Paid_Social,Free
USR_0294,2025-06-04,Organic,Free
USR_0295,2026-05-20,Organic,Pro
USR_0296,2026-06-05,Organic,Free
USR_0297,2026-06-25,Paid_Social,Free
USR_0298,2026-05-08,Organic,Free
USR_0299,2026-05-01,Organic,Free
USR_0300,2026-03-19,Paid_Social,Pro
USR_0301,2026-05-01,Search_Ads,Free
USR_0302,2025-07-07,Paid_Social,Pro
USR_0303,2026-02-09,Creator_Referral,Creator_Tier
USR_0304,2026-02-01,Creator_Referral,Free
USR_0305,2026-05-24,Creator_Referral,Free
USR_0306,2026-01-11,Organic,Free
USR_0307,2025-12-08,Creator_Referral,Free
USR_0308,2026-03-18,Creator_Referral,Free
USR_0309,2025-10-08,Creator_Referral,Creator_Tier
USR_0310,2025-07-12,Search_Ads,Free
USR_0311,2026-01-17,Search_Ads,Free
USR_0312,2025-12-23,Organic,Pro
USR_0313,2025-09-17,Creator_Referral,Free
USR_0314,2025-11-30,Organic,Pro
USR_0315,2025-11-29,Creator_Referral,Free
USR_0316,2025-11-10,Organic,Free
USR_0317,2025-12-06,Organic,Creator_Tier
USR_0318,2026-04-02,Paid_Social,Pro
USR_0319,2025-10-25,Creator_Referral,Pro
USR_0320,2026-06-17,Search_Ads,Free
USR_0321,2026-06-09,Organic,Pro
USR_0322,2026-01-19,Organic,Free
USR_0323,2025-11-11,Creator_Referral,Free
USR_0324,2026-02-09,Organic,Free
USR_0325,2026-05-21,Organic,Free
USR_0326,2026-03-22,Search_Ads,Free
USR_0327,2026-05-09,Organic,Free
USR_0328,2026-02-08,Organic,Pro
USR_0329,2026-03-16,Creator_Referral,Pro
USR_0330,2025-10-20,Creator_Referral,Creator_Tier
USR_0331,2026-04-18,Creator_Referral,Free
USR_0332,2025-08-28,Creator_Referral,Creator_Tier
USR_0333,2026-04-05,Paid_Social,Free
USR_0334,2026-05-25,Organic,Free
USR_0335,2025-07-05,Creator_Referral,Pro
USR_0336,2026-03-09,Paid_Social,Free
USR_0337,2025-05-31,Search_Ads,Free
USR_0338,2026-04-15,Creator_Referral,Free
USR_0339,2025-05-20,Creator_Referral,Free
USR_0340,2026-06-14,Organic,Pro
USR_0341,2025-07-10,Organic,Free
USR_0342,2026-06-20,Organic,Free
USR_0343,2026-05-08,Paid_Social,Free
USR_0344,2026-03-02,Organic,Free
USR_0345,2026-05-02,Paid_Social,Pro
USR_0346,2026-05-06,Organic,Creator_Tier
USR_0347,2026-06-17,Search_Ads,Pro
USR_0348,2025-09-30,Paid_Social,Pro
USR_0349,2026-03-01,Organic,Free
USR_0350,2025-05-31,Organic,Pro
USR_0351,2026-03-10,Organic,Free
USR_0352,2025-08-06,Search_Ads,Free
USR_0353,2026-02-20,Organic,Pro
USR_0354,2026-02-23,Creator_Referral,Free
USR_0355,2026-01-13,Creator_Referral,Pro
USR_0356,2026-02-04,Paid_Social,Pro
USR_0357,2026-04-27,Creator_Referral,Creator_Tier
USR_0358,2026-05-07,Creator_Referral,Free
USR_0359,2026-01-23,Search_Ads,Free
USR_0360,2026-03-04,Organic,Pro
USR_0361,2026-06-13,Paid_Social,Free
USR_0362,2025-06-24,Organic,Free
USR_0363,2025-06-22,Creator_Referral,Pro
USR_0364,2025-05-23,Search_Ads,Creator_Tier
USR_0365,2026-03-24,Paid_Social,Pro
USR_0366,2025-12-23,Paid_Social,Free
USR_0367,2026-04-30,Organic,Free
USR_0368,2026-03-29,Creator_Referral,Free
USR_0369,2025-11-13,Creator_Referral,Free
USR_0370,2026-06-04,Creator_Referral,Free
USR_0371,2026-04-26,Creator_Referral,Free
USR_0372,2025-10-10,Organic,Free
USR_0373,2025-11-28,Organic,Free
USR_0374,2025-11-03,Organic,Free
USR_0375,2025-07-26,Creator_Referral,Free
USR_0376,2025-07-19,Organic,Free
USR_0377,2026-06-14,Search_Ads,Pro
USR_0378,2026-01-01,Paid_Social,Free
USR_0379,2025-12-07,Organic,Pro
USR_0380,2026-04-16,Paid_Social,Free
USR_0381,2026-02-15,Paid_Social,Free
USR_0382,2026-06-14,Organic,Free
USR_0383,2026-05-01,Organic,Free
USR_0384,2026-01-18,Organic,Free
USR_0385,2025-12-04,Organic,Pro
USR_0386,2026-06-27,Paid_Social,Creator_Tier
USR_0387,2026-04-12,Search_Ads,Free
USR_0388,2026-06-18,Organic,Free
USR_0389,2025-06-23,Paid_Social,Pro
USR_0390,2026-05-22,Organic,Free
USR_0391,2026-03-17,Creator_Referral,Free
USR_0392,2025-06-26,Paid_Social,Pro
USR_0393,2026-02-28,Creator_Referral,Free
USR_0394,2026-04-02,Organic,Pro
USR_0395,2025-01-31,Creator_Referral,Free
USR_0396,2026-01-08,Search_Ads,Free
USR_0397,2026-05-15,Organic,Free
USR_0398,2025-10-24,Organic,Pro
USR_0399,2026-01-09,Organic,Free
USR_0400,2026-01-03,Creator_Referral,Pro
USR_0401,2025-10-28,Creator_Referral,Pro
USR_0402,2026-06-09,Paid_Social,Pro
USR_0403,2026-05-02,Paid_Social,Free
USR_0404,2025-06-15,Search_Ads,Free
USR_0405,2026-06-30,Paid_Social,Free
USR_0406,2026-05-30,Organic,Free
USR_0407,2025-10-18,Creator_Referral,Creator_Tier
USR_0408,2026-05-18,Organic,Free
USR_0409,2025-06-11,Organic,Pro
USR_0410,2026-06-30,Search_Ads,Free
USR_0411,2026-03-27,Paid_Social,Free
USR_0412,2026-03-22,Search_Ads,Free
USR_0413,2025-05-26,Creator_Referral,Pro
USR_0414,2026-06-04,Creator_Referral,Free
USR_0415,2025-03-05,Creator_Referral,Free
USR_0416,2025-09-22,Organic,Pro
USR_0417,2025-07-15,Organic,Free
USR_0418,2026-04-30,Creator_Referral,Free
USR_0419,2025-08-26,Organic,Free
USR_0420,2026-06-07,Search_Ads,Free
USR_0421,2026-03-24,Organic,Free
USR_0422,2025-03-17,Organic,Free
USR_0423,2025-01-15,Paid_Social,Free
USR_0424,2025-04-09,Organic,Free
USR_0425,2026-03-06,Search_Ads,Free
USR_0426,2026-05-08,Paid_Social,Free
USR_0427,2025-09-21,Organic,Free
USR_0428,2026-05-21,Paid_Social,Free
USR_0429,2025-04-17,Paid_Social,Free
USR_0430,2026-05-08,Paid_Social,Free
USR_0431,2026-06-12,Paid_Social,Free
USR_0432,2026-04-29,Paid_Social,Creator_Tier
USR_0433,2026-04-06,Creator_Referral,Pro
USR_0434,2026-05-18,Organic,Free
USR_0435,2025-03-23,Paid_Social,Free
USR_0436,2025-08-28,Search_Ads,Free
USR_0437,2025-06-29,Creator_Referral,Pro
USR_0438,2026-01-28,Paid_Social,Free
USR_0439,2026-04-21,Creator_Referral,Free
USR_0440,2026-03-15,Paid_Social,Free
USR_0441,2026-05-22,Search_Ads,Free
USR_0442,2025-07-25,Organic,Free
USR_0443,2026-04-18,Organic,Pro
USR_0444,2025-08-22,Creator_Referral,Creator_Tier
USR_0445,2025-10-10,Creator_Referral,Free
USR_0446,2026-04-10,Creator_Referral,Free
USR_0447,2026-06-25,Organic,Free
USR_0448,2026-03-08,Creator_Referral,Free
USR_0449,2025-04-13,Creator_Referral,Free
USR_0450,2026-03-10,Creator_Referral,Free
USR_0451,2025-03-26,Paid_Social,Pro
USR_0452,2026-05-31,Paid_Social,Creator_Tier
USR_0453,2026-04-10,Paid_Social,Pro
USR_0454,2025-08-07,Paid_Social,Pro
USR_0455,2025-05-27,Paid_Social,Free
USR_0456,2025-08-15,Creator_Referral,Free
USR_0457,2026-06-25,Paid_Social,Free
USR_0458,2026-01-09,Organic,Free
USR_0459,2026-05-03,Organic,Free
USR_0460,2026-03-17,Creator_Referral,Pro
USR_0461,2026-02-23,Search_Ads,Free
USR_0462,2025-07-16,Paid_Social,Free
USR_0463,2026-06-17,Organic,Free
USR_0464,2025-10-27,Creator_Referral,Creator_Tier
USR_0465,2026-02-25,Organic,Free
USR_0466,2026-04-07,Paid_Social,Free
USR_0467,2026-03-21,Paid_Social,Free
USR_0468,2026-06-15,Creator_Referral,Pro
USR_0469,2025-07-19,Creator_Referral,Creator_Tier
USR_0470,2026-01-30,Organic,Free
USR_0471,2025-12-17,Creator_Referral,Creator_Tier
USR_0472,2026-01-16,Search_Ads,Free
USR_0473,2025-06-24,Paid_Social,Free
USR_0474,2025-07-07,Creator_Referral,Free
USR_0475,2025-10-14,Creator_Referral,Free
USR_0476,2025-10-29,Organic,Pro
USR_0477,2025-12-27,Organic,Free
USR_0478,2026-03-08,Organic,Free
USR_0479,2026-03-16,Creator_Referral,Pro
USR_0480,2025-12-20,Search_Ads,Creator_Tier
USR_0481,2025-12-19,Creator_Referral,Free
USR_0482,2025-09-08,Organic,Free
USR_0483,2026-02-28,Organic,Pro
USR_0484,2025-11-05,Organic,Free
USR_0485,2025-03-17,Paid_Social,Pro
USR_0486,2025-12-23,Creator_Referral,Free
USR_0487,2026-01-16,Paid_Social,Pro
USR_0488,2025-09-13,Paid_Social,Free
USR_0489,2026-02-23,Organic,Free
USR_0490,2026-02-20,Paid_Social,Free
USR_0491,2026-04-07,Search_Ads,Free
USR_0492,2026-03-21,Creator_Referral,Pro
USR_0493,2026-03-22,Organic,Creator_Tier
USR_0494,2025-11-04,Search_Ads,Free
USR_0495,2026-05-04,Search_Ads,Free
USR_0496,2026-02-14,Creator_Referral,Free
USR_0497,2025-12-29,Creator_Referral,Free
USR_0498,2026-03-13,Organic,Free
USR_0499,2025-11-27,Paid_Social,Pro
USR_0500,2026-01-31,Creator_Referral,Pro
USR_0501,2026-04-18,Organic,Free
USR_0502,2026-06-01,Paid_Social,Free
USR_0503,2026-06-10,Search_Ads,Free
USR_0504,2026-01-28,Paid_Social,Free
USR_0505,2026-02-03,Organic,Free
USR_0506,2026-05-07,Organic,Free
USR_0507,2025-11-03,Search_Ads,Free
USR_0508,2026-05-18,Search_Ads,Free
USR_0509,2026-01-24,Creator_Referral,Pro
USR_0510,2025-06-21,Paid_Social,Free
USR_0511,2025-05-05,Creator_Referral,Free
USR_0512,2026-05-19,Creator_Referral,Free
USR_0513,2025-04-14,Organic,Pro
USR_0514,2025-10-16,Organic,Free
USR_0515,2025-11-13,Organic,Free
USR_0516,2025-08-07,Paid_Social,Free
USR_0517,2025-11-03,Organic,Free
USR_0518,2026-04-20,Organic,Free
USR_0519,2025-02-05,Creator_Referral,Pro
USR_0520,2026-05-15,Organic,Free
USR_0521,2026-05-23,Organic,Free
USR_0522,2025-12-02,Creator_Referral,Free
USR_0523,2025-07-23,Creator_Referral,Pro
USR_0524,2026-03-05,Paid_Social,Pro
USR_0525,2025-06-24,Search_Ads,Pro
USR_0526,2025-11-29,Organic,Free
USR_0527,2026-06-20,Search_Ads,Pro
USR_0528,2026-06-29,Search_Ads,Pro
USR_0529,2026-04-29,Paid_Social,Free
USR_0530,2025-11-01,Paid_Social,Free
USR_0531,2026-04-03,Paid_Social,Pro
USR_0532,2026-04-09,Paid_Social,Free
USR_0533,2025-12-09,Paid_Social,Pro
USR_0534,2026-03-18,Organic,Free
USR_0535,2025-01-28,Search_Ads,Free
USR_0536,2025-09-02,Creator_Referral,Free
USR_0537,2026-02-05,Paid_Social,Pro
USR_0538,2025-07-31,Creator_Referral,Pro
USR_0539,2025-08-02,Organic,Free
USR_0540,2026-05-18,Creator_Referral,Free
USR_0541,2026-06-28,Creator_Referral,Free
USR_0542,2026-02-17,Creator_Referral,Free
USR_0543,2026-05-18,Organic,Creator_Tier
USR_0544,2026-06-28,Organic,Free
USR_0545,2025-07-13,Creator_Referral,Free
USR_0546,2026-01-05,Creator_Referral,Free
USR_0547,2025-12-12,Search_Ads,Creator_Tier
USR_0548,2025-05-15,Organic,Free
USR_0549,2026-04-24,Organic,Pro
USR_0550,2025-12-30,Organic,Free
USR_0551,2026-01-14,Creator_Referral,Free
USR_0552,2025-07-21,Creator_Referral,Pro
USR_0553,2025-08-13,Paid_Social,Free
USR_0554,2026-06-06,Search_Ads,Pro
USR_0555,2025-03-30,Organic,Free
USR_0556,2025-09-17,Paid_Social,Pro
USR_0557,2025-10-22,Organic,Pro
USR_0558,2026-01-22,Organic,Pro
USR_0559,2026-02-28,Creator_Referral,Free
USR_0560,2026-01-24,Organic,Pro
USR_0561,2025-05-19,Paid_Social,Creator_Tier
USR_0562,2025-09-24,Paid_Social,Free
USR_0563,2026-05-20,Paid_Social,Free
USR_0564,2026-03-17,Creator_Referral,Pro
USR_0565,2026-03-21,Paid_Social,Free
USR_0566,2026-03-28,Creator_Referral,Pro
USR_0567,2026-04-26,Organic,Pro
USR_0568,2025-04-18,Organic,Free
USR_0569,2025-11-29,Paid_Social,Free
USR_0570,2026-02-10,Search_Ads,Free
USR_0571,2025-11-16,Organic,Free
USR_0572,2026-05-20,Creator_Referral,Pro
USR_0573,2026-01-19,Paid_Social,Free
USR_0574,2026-04-28,Paid_Social,Free
USR_0575,2026-05-22,Creator_Referral,Pro
USR_0576,2026-01-28,Paid_Social,Free
USR_0577,2026-06-07,Paid_Social,Pro
USR_0578,2026-02-28,Search_Ads,Free
USR_0579,2026-05-22,Organic,Free
USR_0580,2025-11-17,Search_Ads,Free
USR_0581,2026-01-26,Organic,Pro
USR_0582,2026-02-07,Paid_Social,Pro
USR_0583,2025-06-10,Organic,Pro
USR_0584,2025-12-14,Organic,Creator_Tier
USR_0585,2026-06-09,Organic,Pro
USR_0586,2026-03-15,Creator_Referral,Pro
USR_0587,2025-08-11,Organic,Free
USR_0588,2025-11-16,Organic,Creator_Tier
USR_0589,2025-08-21,Creator_Referral,Free
USR_0590,2025-02-25,Creator_Referral,Pro
USR_0591,2026-06-12,Paid_Social,Free
USR_0592,2026-01-05,Search_Ads,Free
USR_0593,2025-10-31,Paid_Social,Pro
USR_0594,2026-03-04,Organic,Free
USR_0595,2025-01-20,Organic,Free
USR_0596,2025-10-14,Search_Ads,Creator_Tier
USR_0597,2026-04-08,Organic,Free
USR_0598,2026-03-16,Creator_Referral,Free
USR_0599,2026-06-26,Search_Ads,Free
USR_0600,2026-03-11,Search_Ads,Free
USR_0601,2026-01-17,Creator_Referral,Free
USR_0602,2026-04-26,Paid_Social,Creator_Tier
USR_0603,2026-06-05,Creator_Referral,Creator_Tier
USR_0604,2026-04-13,Paid_Social,Pro
USR_0605,2026-06-21,Organic,Pro
USR_0606,2026-05-02,Organic,Free
USR_0607,2026-05-26,Paid_Social,Pro
USR_0608,2025-06-19,Organic,Free
USR_0609,2026-04-17,Paid_Social,Free
